"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Projects\Diplomna\Map\Node\Code\Components\Common\Common.c", "C", 0, 3, 0, 0, 3
"c:\Projects\Diplomna\Map\Node\Code\Components\Common\Common.h", "C++", 42, 0, 0, 12, 54
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowDriver\EspnowDriver.cpp", "C++", 83, 0, 5, 21, 109
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowDriver\EspnowDriver.hpp", "C++", 15, 0, 0, 5, 20
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Distance\Distance.cpp", "C++", 167, 0, 30, 34, 231
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Distance\Distance.hpp", "C++", 41, 0, 0, 9, 50
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Distance\Distance_ref.hpp", "C++", 3, 0, 6, 2, 11
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\include\EspnowManager_Communication.hpp", "C++", 15, 0, 0, 7, 22
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\include\EspnowManager_Interface.hpp", "C++", 15, 0, 0, 6, 21
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\include\EspnowManager_Tasks.hpp", "C++", 17, 0, 0, 8, 25
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\src\EspnowManager_Communication.cpp", "C++", 121, 0, 2, 22, 145
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\src\EspnowManager_Interface.cpp", "C++", 23, 0, 0, 5, 28
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\src\EspnowManager_Tasks.cpp", "C++", 121, 0, 2, 23, 146
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\utils\EspnowManager_Config_Validation.h", "C++", 6, 0, 0, 2, 8
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\utils\EspnowManager_Internal.hpp", "C++", 34, 0, 0, 11, 45
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowManager\utils\EspnowManager_Task_Config.h", "C++", 106, 0, 0, 11, 117
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowPeer\EspnowPeer.cpp", "C++", 172, 0, 0, 28, 200
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\EspnowPeer\EspnowPeer.hpp", "C++", 45, 0, 0, 6, 51
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\include\EspnowMessageAcknowledge.hpp", "C++", 16, 0, 0, 3, 19
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\include\EspnowMessageCalculation.hpp", "C++", 22, 0, 0, 5, 27
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\include\EspnowMessageKeepAlive.hpp", "C++", 15, 0, 0, 4, 19
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\include\EspnowMessageRequest.hpp", "C++", 20, 0, 0, 7, 27
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\include\IEspnowMessage.hpp", "C++", 18, 0, 0, 5, 23
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\src\EspnowMessageAcknowledge.cpp", "C++", 32, 0, 0, 9, 41
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\src\EspnowMessageCalculation.cpp", "C++", 66, 0, 1, 13, 80
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\src\EspnowMessageKeepAlive.cpp", "C++", 19, 0, 1, 6, 26
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Messages\src\EspnowMessageRequest.cpp", "C++", 35, 0, 3, 9, 47
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Series\ClosedSeries.cpp", "C++", 16, 0, 0, 4, 20
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Series\ClosedSeries.hpp", "C++", 16, 0, 0, 3, 19
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Series\OpenSeries.cpp", "C++", 54, 0, 15, 11, 80
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Series\OpenSeries.hpp", "C++", 24, 0, 0, 3, 27
"c:\Projects\Diplomna\Map\Node\Code\Components\EspnowManager\Series\SeriesCommon.hpp", "C++", 7, 0, 8, 4, 19
"c:\Projects\Diplomna\Map\Node\Code\Components\Hooks\Hooks.c", "C", 0, 18, 8, 6, 32
"c:\Projects\Diplomna\Map\Node\Code\Components\Hooks\Hooks.h", "C++", 7, 0, 0, 5, 12
